Date,Team 1,FT,Team 2,Season
Jan 2 1965,Hamburger SV,4-1,Hertha BSC,1964-65
Jan 2 1965,Karlsruher SC,2-2,FC Schalke 04,1964-65
Jan 2 1965,1. FC Köln,0-1,Hannover 96,1964-65
Jan 2 1965,1. FC Kaiserslautern,2-0,MSV Duisburg,1964-65
Jan 2 1965,Eintracht Braunschweig,1-1,Werder Bremen,1964-65
Jan 2 1965,Borussia Dortmund,5-1,VfB Borussia Neunkirchen,1964-65
Jan 2 1965,Eintracht Frankfurt,4-1,TSV 1860 Munich,1964-65
Jan 9 1965,FC Schalke 04,1-0,1. FC Kaiserslautern,1964-65
Jan 9 1965,MSV Duisburg,2-0,Eintracht Braunschweig,1964-65
Jan 9 1965,Hertha BSC,1-2,1. FC Nürnberg,1964-65
Jan 9 1965,Hannover 96,1-2,Hamburger SV,1964-65
Jan 9 1965,VfB Borussia Neunkirchen,1-1,1. FC Köln,1964-65
Jan 9 1965,VfB Stuttgart,3-2,Borussia Dortmund,1964-65
Jan 9 1965,Werder Bremen,2-2,Eintracht Frankfurt,1964-65
Jan 11 1965,VfB Borussia Neunkirchen,1-0,Karlsruher SC,1964-65
Jan 23 1965,Karlsruher SC,0-2,Werder Bremen,1964-65
Jan 23 1965,Hamburger SV,1-2,VfB Borussia Neunkirchen,1964-65
Jan 23 1965,1. FC Köln,2-1,VfB Stuttgart,1964-65
Jan 23 1965,1. FC Nürnberg,1-0,Hannover 96,1964-65
Jan 23 1965,Eintracht Frankfurt,2-3,MSV Duisburg,1964-65
Jan 23 1965,1. FC Kaiserslautern,1-2,TSV 1860 Munich,1964-65
Jan 23 1965,Eintracht Braunschweig,1-2,FC Schalke 04,1964-65
Jan 23 1965,Borussia Dortmund,6-3,Hertha BSC,1964-65
Jan 30 1965,Werder Bremen,0-0,1. FC Köln,1964-65
Jan 30 1965,Karlsruher SC,3-1,Eintracht Frankfurt,1964-65
Jan 30 1965,FC Schalke 04,1-3,1. FC Nürnberg,1964-65
Jan 30 1965,TSV 1860 Munich,4-4,Borussia Dortmund,1964-65
Jan 30 1965,VfB Borussia Neunkirchen,0-0,Eintracht Braunschweig,1964-65
Jan 30 1965,Hertha BSC,0-0,VfB Stuttgart,1964-65
Jan 30 1965,MSV Duisburg,3-2,Hamburger SV,1964-65
Feb 13 1965,Borussia Dortmund,4-0,FC Schalke 04,1964-65
Feb 13 1965,VfB Stuttgart,1-2,Karlsruher SC,1964-65
Feb 13 1965,Eintracht Frankfurt,3-0,Hertha BSC,1964-65
Feb 13 1965,Eintracht Braunschweig,2-2,Hannover 96,1964-65
Feb 13 1965,1. FC Nürnberg,2-2,TSV 1860 Munich,1964-65
Feb 13 1965,Hamburger SV,0-4,Werder Bremen,1964-65
Feb 13 1965,1. FC Köln,1-2,MSV Duisburg,1964-65
Feb 20 1965,FC Schalke 04,3-1,VfB Stuttgart,1964-65
Feb 20 1965,Werder Bremen,3-0,Hannover 96,1964-65
Feb 20 1965,Karlsruher SC,1-1,1. FC Nürnberg,1964-65
Feb 20 1965,1. FC Kaiserslautern,1-3,Borussia Dortmund,1964-65
Feb 20 1965,MSV Duisburg,1-1,VfB Borussia Neunkirchen,1964-65
Feb 20 1965,Eintracht Frankfurt,2-1,Hamburger SV,1964-65
Feb 20 1965,TSV 1860 Munich,6-4,Hertha BSC,1964-65
Feb 20 1965,Eintracht Braunschweig,1-1,1. FC Köln,1964-65
Feb 27 1965,TSV 1860 Munich,9-0,Karlsruher SC,1964-65
Feb 27 1965,1. FC Kaiserslautern,2-0,VfB Borussia Neunkirchen,1964-65
Mar 6 1965,1. FC Nürnberg,1-0,1. FC Kaiserslautern,1964-65
Mar 6 1965,Hamburger SV,2-1,Karlsruher SC,1964-65
Mar 6 1965,Hannover 96,0-2,TSV 1860 Munich,1964-65
Mar 6 1965,Borussia Dortmund,5-4,Eintracht Braunschweig,1964-65
Mar 6 1965,VfB Borussia Neunkirchen,1-1,Werder Bremen,1964-65
Mar 6 1965,1. FC Köln,3-4,Eintracht Frankfurt,1964-65
Mar 12 1965,VfB Stuttgart,4-2,MSV Duisburg,1964-65
Mar 13 1965,Hertha BSC,2-1,FC Schalke 04,1964-65
Mar 20 1965,TSV 1860 Munich,4-2,VfB Borussia Neunkirchen,1964-65
Mar 20 1965,Karlsruher SC,2-4,1. FC Köln,1964-65
Mar 20 1965,1. FC Kaiserslautern,2-1,Hamburger SV,1964-65
Mar 20 1965,MSV Duisburg,2-2,Hertha BSC,1964-65
Mar 20 1965,Eintracht Frankfurt,0-2,Borussia Dortmund,1964-65
Mar 20 1965,Eintracht Braunschweig,1-0,1. FC Nürnberg,1964-65
Mar 20 1965,Werder Bremen,1-0,VfB Stuttgart,1964-65
Mar 20 1965,FC Schalke 04,2-2,Hannover 96,1964-65
Mar 27 1965,1. FC Nürnberg,0-0,Eintracht Frankfurt,1964-65
Mar 27 1965,VfB Stuttgart,3-0,TSV 1860 Munich,1964-65
Mar 27 1965,Hamburger SV,0-1,Eintracht Braunschweig,1964-65
Mar 27 1965,Borussia Dortmund,5-1,Karlsruher SC,1964-65
Mar 27 1965,1. FC Köln,3-0,1. FC Kaiserslautern,1964-65
Mar 27 1965,Hertha BSC,0-0,Werder Bremen,1964-65
Mar 27 1965,Hannover 96,2-0,MSV Duisburg,1964-65
Apr 2 1965,VfB Borussia Neunkirchen,3-2,FC Schalke 04,1964-65
Apr 3 1965,Karlsruher SC,2-1,VfB Borussia Neunkirchen,1964-65
Apr 3 1965,Eintracht Frankfurt,3-3,Hannover 96,1964-65
Apr 3 1965,1. FC Kaiserslautern,1-2,Hertha BSC,1964-65
Apr 3 1965,TSV 1860 Munich,2-3,1. FC Köln,1964-65
Apr 3 1965,FC Schalke 04,1-0,Werder Bremen,1964-65
Apr 3 1965,Eintracht Braunschweig,2-1,VfB Stuttgart,1964-65
Apr 3 1965,Hamburger SV,2-1,1. FC Nürnberg,1964-65
Apr 3 1965,MSV Duisburg,3-2,Borussia Dortmund,1964-65
Apr 10 1965,1. FC Nürnberg,1-1,MSV Duisburg,1964-65
Apr 10 1965,Werder Bremen,3-2,TSV 1860 Munich,1964-65
Apr 10 1965,1. FC Köln,2-1,FC Schalke 04,1964-65
Apr 10 1965,Borussia Dortmund,2-0,Hamburger SV,1964-65
Apr 10 1965,VfB Borussia Neunkirchen,4-0,Eintracht Frankfurt,1964-65
Apr 10 1965,Hertha BSC,0-3,Eintracht Braunschweig,1964-65
Apr 10 1965,Hannover 96,4-2,Karlsruher SC,1964-65
Apr 10 1965,VfB Stuttgart,1-0,1. FC Kaiserslautern,1964-65
Apr 14 1965,Hannover 96,4-0,1. FC Kaiserslautern,1964-65
Apr 30 1965,Hamburger SV,0-0,1. FC Köln,1964-65
Apr 30 1965,Borussia Dortmund,2-1,1. FC Nürnberg,1964-65
Apr 30 1965,TSV 1860 Munich,3-1,FC Schalke 04,1964-65
Apr 30 1965,Eintracht Frankfurt,2-3,VfB Stuttgart,1964-65
Apr 30 1965,Hannover 96,1-1,VfB Borussia Neunkirchen,1964-65
Apr 30 1965,1. FC Kaiserslautern,2-1,Eintracht Braunschweig,1964-65
Apr 30 1965,Karlsruher SC,0-1,Hertha BSC,1964-65
Apr 30 1965,MSV Duisburg,2-2,Werder Bremen,1964-65
May 8 1965,TSV 1860 Munich,4-1,Hamburger SV,1964-65
May 8 1965,1. FC Kaiserslautern,0-1,Karlsruher SC,1964-65
May 8 1965,Werder Bremen,3-0,Borussia Dortmund,1964-65
May 8 1965,1. FC Köln,0-0,1. FC Nürnberg,1964-65
May 8 1965,VfB Stuttgart,0-3,Hannover 96,1964-65
May 8 1965,Eintracht Braunschweig,3-2,Eintracht Frankfurt,1964-65
May 8 1965,Hertha BSC,1-1,VfB Borussia Neunkirchen,1964-65
May 8 1965,FC Schalke 04,1-2,MSV Duisburg,1964-65
May 15 1965,VfB Borussia Neunkirchen,3-1,VfB Stuttgart,1964-65
May 15 1965,1. FC Nürnberg,2-3,Werder Bremen,1964-65
May 15 1965,Eintracht Frankfurt,1-2,1. FC Kaiserslautern,1964-65
May 15 1965,Borussia Dortmund,2-2,1. FC Köln,1964-65
May 15 1965,Hannover 96,3-1,Hertha BSC,1964-65
May 15 1965,Hamburger SV,2-4,FC Schalke 04,1964-65
May 15 1965,Karlsruher SC,3-0,Eintracht Braunschweig,1964-65
May 15 1965,MSV Duisburg,3-0,TSV 1860 Munich,1964-65
Aug 14 1965,Eintracht Braunschweig,4-0,Borussia Dortmund,1965-66
Aug 14 1965,1. FC Köln,0-1,Hannover 96,1965-66
Aug 14 1965,VfB Borussia Neunkirchen,1-1,Bor. Mönchengladbach,1965-66
Aug 14 1965,SC Tasmania 1900 Berlin (-1973),2-0,Karlsruher SC,1965-66
Aug 14 1965,Eintracht Frankfurt,2-0,Hamburger SV,1965-66
Aug 14 1965,Werder Bremen,1-0,1. FC Nürnberg,1965-66
Aug 14 1965,MSV Duisburg,2-2,1. FC Kaiserslautern,1965-66
Aug 14 1965,TSV 1860 Munich,1-0,Bayern Munich,1965-66
Aug 14 1965,VfB Stuttgart,1-0,FC Schalke 04,1965-66
Aug 21 1965,VfB Stuttgart,2-0,MSV Duisburg,1965-66
Aug 21 1965,Hannover 96,2-1,Werder Bremen,1965-66
Aug 21 1965,1. FC Kaiserslautern,3-2,1. FC Köln,1965-66
Aug 21 1965,Bor. Mönchengladbach,5-0,SC Tasmania 1900 Berlin (-1973),1965-66
Aug 21 1965,Hamburger SV,2-1,Eintracht Braunschweig,1965-66
Aug 21 1965,FC Schalke 04,0-0,Karlsruher SC,1965-66
Aug 21 1965,Bayern Munich,2-0,Eintracht Frankfurt,1965-66
Aug 21 1965,Borussia Dortmund,1-0,VfB Borussia Neunkirchen,1965-66
Aug 21 1965,1. FC Nürnberg,1-4,TSV 1860 Munich,1965-66
Aug 27 1965,MSV Duisburg,5-1,FC Schalke 04,1965-66
Aug 28 1965,VfB Borussia Neunkirchen,1-1,Hamburger SV,1965-66
Aug 28 1965,Karlsruher SC,3-3,Bor. Mönchengladbach,1965-66
Aug 28 1965,TSV 1860 Munich,5-0,Hannover 96,1965-66
Aug 28 1965,Werder Bremen,4-1,1. FC Kaiserslautern,1965-66
Aug 28 1965,1. FC Köln,3-1,VfB Stuttgart,1965-66
Aug 28 1965,Eintracht Braunschweig,2-4,Bayern Munich,1965-66
Aug 28 1965,SC Tasmania 1900 Berlin (-1973),0-2,Borussia Dortmund,1965-66
Sep 3 1965,Eintracht Frankfurt,1-2,1. FC Nürnberg,1965-66
Sep 4 1965,Bayern Munich,6-0,VfB Borussia Neunkirchen,1965-66
Sep 4 1965,VfB Stuttgart,0-2,Werder Bremen,1965-66
Sep 4 1965,1. FC Kaiserslautern,3-0,TSV 1860 Munich,1965-66
Sep 4 1965,Borussia Dortmund,4-1,Karlsruher SC,1965-66
Sep 4 1965,Hannover 96,4-1,Eintracht Frankfurt,1965-66
Sep 4 1965,FC Schalke 04,0-0,Bor. Mönchengladbach,1965-66
Sep 4 1965,Hamburger SV,5-1,SC Tasmania 1900 Berlin (-1973),1965-66
Sep 4 1965,MSV Duisburg,2-3,1. FC Köln,1965-66
Sep 4 1965,1. FC Nürnberg,1-1,Eintracht Braunschweig,1965-66
Sep 11 1965,VfB Borussia Neunkirchen,2-1,1. FC Nürnberg,1965-66
Sep 11 1965,Karlsruher SC,1-4,Hamburger SV,1965-66
Sep 11 1965,Bor. Mönchengladbach,4-5,Borussia Dortmund,1965-66
Sep 11 1965,SC Tasmania 1900 Berlin (-1973),0-2,Bayern Munich,1965-66
Sep 11 1965,1. FC Köln,2-1,FC Schalke 04,1965-66
Sep 11 1965,Eintracht Frankfurt,6-0,1. FC Kaiserslautern,1965-66
Sep 11 1965,Eintracht Braunschweig,2-1,Hannover 96,1965-66
Sep 11 1965,Werder Bremen,2-0,MSV Duisburg,1965-66
Sep 17 1965,TSV 1860 Munich,0-0,VfB Stuttgart,1965-66
Sep 18 1965,1. FC Kaiserslautern,1-1,Eintracht Braunschweig,1965-66
Sep 18 1965,Bayern Munich,5-1,Karlsruher SC,1965-66
Sep 18 1965,1. FC Köln,2-0,Werder Bremen,1965-66
Sep 18 1965,Hannover 96,6-0,VfB Borussia Neunkirchen,1965-66
Sep 18 1965,FC Schalke 04,2-3,Borussia Dortmund,1965-66
Sep 18 1965,VfB Stuttgart,0-0,Eintracht Frankfurt,1965-66
Sep 18 1965,Hamburger SV,5-0,Bor. Mönchengladbach,1965-66
Sep 18 1965,MSV Duisburg,2-3,TSV 1860 Munich,1965-66
Sep 18 1965,1. FC Nürnberg,7-2,SC Tasmania 1900 Berlin (-1973),1965-66
Oct 2 1965,Bor. Mönchengladbach,1-2,Bayern Munich,1965-66
Oct 2 1965,TSV 1860 Munich,2-1,1. FC Köln,1965-66
Oct 2 1965,Borussia Dortmund,2-2,Hamburger SV,1965-66
Oct 2 1965,Werder Bremen,2-0,FC Schalke 04,1965-66
Oct 2 1965,SC Tasmania 1900 Berlin (-1973),1-5,Hannover 96,1965-66
Oct 2 1965,VfB Borussia Neunkirchen,1-4,1. FC Kaiserslautern,1965-66
Oct 2 1965,Eintracht Frankfurt,2-0,MSV Duisburg,1965-66
Oct 2 1965,Eintracht Braunschweig,1-1,VfB Stuttgart,1965-66
Oct 2 1965,Karlsruher SC,1-2,1. FC Nürnberg,1965-66
Oct 16 1965,1. FC Nürnberg,2-2,Bor. Mönchengladbach,1965-66
Oct 16 1965,VfB Stuttgart,2-0,VfB Borussia Neunkirchen,1965-66
Oct 16 1965,1. FC Köln,1-0,Eintracht Frankfurt,1965-66
Oct 16 1965,Werder Bremen,0-2,TSV 1860 Munich,1965-66
Oct 16 1965,1. FC Kaiserslautern,0-0,SC Tasmania 1900 Berlin (-1973),1965-66
Oct 16 1965,FC Schalke 04,2-1,Hamburger SV,1965-66
Oct 16 1965,Hannover 96,5-2,Karlsruher SC,1965-66
Oct 16 1965,Bayern Munich,0-2,Borussia Dortmund,1965-66
Oct 16 1965,MSV Duisburg,4-1,Eintracht Braunschweig,1965-66
Oct 20 1965,Bor. Mönchengladbach,2-0,Hannover 96,1965-66
Oct 20 1965,SC Tasmania 1900 Berlin (-1973),0-2,VfB Stuttgart,1965-66
Oct 20 1965,VfB Borussia Neunkirchen,0-1,MSV Duisburg,1965-66
Oct 20 1965,Borussia Dortmund,2-0,1. FC Nürnberg,1965-66
Oct 20 1965,Karlsruher SC,1-0,1. FC Kaiserslautern,1965-66
Oct 20 1965,Eintracht Braunschweig,1-2,1. FC Köln,1965-66
Oct 20 1965,TSV 1860 Munich,3-0,FC Schalke 04,1965-66
Oct 20 1965,Hamburger SV,0-4,Bayern Munich,1965-66
Oct 20 1965,Eintracht Frankfurt,1-0,Werder Bremen,1965-66
Oct 23 1965,FC Schalke 04,1-1,Bayern Munich,1965-66
Oct 23 1965,VfB Stuttgart,1-0,Karlsruher SC,1965-66
Oct 23 1965,TSV 1860 Munich,4-2,Eintracht Frankfurt,1965-66
Oct 23 1965,Hannover 96,1-1,Borussia Dortmund,1965-66
Oct 23 1965,1. FC Kaiserslautern,1-2,Bor. Mönchengladbach,1965-66
Oct 23 1965,1. FC Köln,4-2,VfB Borussia Neunkirchen,1965-66
Oct 23 1965,MSV Duisburg,3-0,SC Tasmania 1900 Berlin (-1973),1965-66
Oct 23 1965,1. FC Nürnberg,5-0,Hamburger SV,1965-66
Oct 23 1965,Werder Bremen,4-0,Eintracht Braunschweig,1965-66
Oct 30 1965,Bayern Munich,0-0,1. FC Nürnberg,1965-66
Oct 30 1965,Borussia Dortmund,4-0,1. FC Kaiserslautern,1965-66
Oct 30 1965,Eintracht Frankfurt,4-1,FC Schalke 04,1965-66
Oct 30 1965,Eintracht Braunschweig,2-2,TSV 1860 Munich,1965-66
Oct 30 1965,Hamburger SV,2-1,Hannover 96,1965-66
Oct 30 1965,Bor. Mönchengladbach,1-0,VfB Stuttgart,1965-66
Oct 30 1965,Karlsruher SC,0-4,MSV Duisburg,1965-66
Oct 30 1965,SC Tasmania 1900 Berlin (-1973),0-6,1. FC Köln,1965-66
Nov 5 1965,VfB Borussia Neunkirchen,1-2,Werder Bremen,1965-66
Nov 6 1965,Werder Bremen,5-0,SC Tasmania 1900 Berlin (-1973),1965-66
Nov 6 1965,FC Schalke 04,1-0,1. FC Nürnberg,1965-66
Nov 6 1965,VfB Stuttgart,1-1,Borussia Dortmund,1965-66
Nov 6 1965,Eintracht Frankfurt,4-1,Eintracht Braunschweig,1965-66
Nov 6 1965,1. FC Köln,2-0,Karlsruher SC,1965-66
Nov 6 1965,MSV Duisburg,3-2,Bor. Mönchengladbach,1965-66
Nov 6 1965,1. FC Kaiserslautern,2-1,Hamburger SV,1965-66
Nov 6 1965,TSV 1860 Munich,4-1,VfB Borussia Neunkirchen,1965-66
Nov 6 1965,Hannover 96,3-4,Bayern Munich,1965-66
Nov 20 1965,Bor. Mönchengladbach,2-3,1. FC Köln,1965-66
Nov 20 1965,VfB Borussia Neunkirchen,1-6,Eintracht Frankfurt,1965-66
Nov 20 1965,Karlsruher SC,3-2,Werder Bremen,1965-66
Nov 20 1965,Borussia Dortmund,1-1,MSV Duisburg,1965-66
Nov 20 1965,SC Tasmania 1900 Berlin (-1973),0-5,TSV 1860 Munich,1965-66
Nov 20 1965,1. FC Nürnberg,2-1,Hannover 96,1965-66
Nov 20 1965,Hamburger SV,4-1,VfB Stuttgart,1965-66
Nov 20 1965,Bayern Munich,3-0,1. FC Kaiserslautern,1965-66
Nov 20 1965,Eintracht Braunschweig,3-0,FC Schalke 04,1965-66
Nov 27 1965,1. FC Köln,1-2,Borussia Dortmund,1965-66
Nov 27 1965,VfB Stuttgart,0-1,Bayern Munich,1965-66
Nov 27 1965,MSV Duisburg,3-1,Hamburger SV,1965-66
Nov 27 1965,FC Schalke 04,1-0,Hannover 96,1965-66
Nov 27 1965,Eintracht Braunschweig,1-2,VfB Borussia Neunkirchen,1965-66
Nov 27 1965,Werder Bremen,2-0,Bor. Mönchengladbach,1965-66
Nov 27 1965,TSV 1860 Munich,2-0,Karlsruher SC,1965-66
Nov 27 1965,Eintracht Frankfurt,4-0,SC Tasmania 1900 Berlin (-1973),1965-66
Dec 3 1965,1. FC Kaiserslautern,0-0,1. FC Nürnberg,1965-66
Dec 4 1965,Hannover 96,4-0,1. FC Kaiserslautern,1965-66
Dec 4 1965,VfB Borussia Neunkirchen,1-0,FC Schalke 04,1965-66
Dec 4 1965,Hamburger SV,2-2,1. FC Köln,1965-66
Dec 4 1965,Borussia Dortmund,2-1,Werder Bremen,1965-66
Dec 4 1965,Bayern Munich,3-0,MSV Duisburg,1965-66
Dec 4 1965,Karlsruher SC,4-0,Eintracht Frankfurt,1965-66
Dec 4 1965,1. FC Nürnberg,1-1,VfB Stuttgart,1965-66
Dec 11 1965,Werder Bremen,2-0,Hamburger SV,1965-66
Dec 11 1965,Eintracht Braunschweig,2-0,Karlsruher SC,1965-66
Dec 11 1965,Eintracht Frankfurt,3-1,Bor. Mönchengladbach,1965-66
Dec 11 1965,VfB Stuttgart,4-2,Hannover 96,1965-66
Dec 11 1965,VfB Borussia Neunkirchen,3-1,SC Tasmania 1900 Berlin (-1973),1965-66
Dec 11 1965,1. FC Köln,6-1,Bayern Munich,1965-66
Dec 11 1965,TSV 1860 Munich,2-1,Borussia Dortmund,1965-66
Dec 11 1965,FC Schalke 04,2-1,1. FC Kaiserslautern,1965-66
Dec 18 1965,Bayern Munich,3-1,Werder Bremen,1965-66
Dec 18 1965,Hannover 96,0-3,MSV Duisburg,1965-66
Dec 18 1965,1. FC Nürnberg,2-0,1. FC Köln,1965-66
Dec 18 1965,Bor. Mönchengladbach,1-0,Eintracht Braunschweig,1965-66
Dec 18 1965,Karlsruher SC,1-1,VfB Borussia Neunkirchen,1965-66
Dec 18 1965,SC Tasmania 1900 Berlin (-1973),1-2,FC Schalke 04,1965-66
Dec 18 1965,Hamburger SV,1-2,TSV 1860 Munich,1965-66
Dec 24 1965,1. FC Kaiserslautern,1-2,VfB Stuttgart,1965-66
Dec 29 1965,MSV Duisburg,1-2,1. FC Nürnberg,1965-66
Dec 29 1965,Bor. Mönchengladbach,1-1,TSV 1860 Munich,1965-66
Dec 31 1965,SC Tasmania 1900 Berlin (-1973),0-2,Eintracht Braunschweig,1965-66
Jan 8 1966,Bor. Mönchengladbach,4-1,VfB Borussia Neunkirchen,1965-66
Jan 8 1966,Hamburger SV,0-1,Eintracht Frankfurt,1965-66
Jan 8 1966,1. FC Nürnberg,2-1,Werder Bremen,1965-66
Jan 8 1966,Borussia Dortmund,1-1,Eintracht Braunschweig,1965-66
Jan 8 1966,Hannover 96,1-1,1. FC Köln,1965-66
Jan 8 1966,Karlsruher SC,3-0,SC Tasmania 1900 Berlin (-1973),1965-66
Jan 8 1966,1. FC Kaiserslautern,1-0,MSV Duisburg,1965-66
Jan 14 1966,Bayern Munich,3-0,TSV 1860 Munich,1965-66
Jan 14 1966,FC Schalke 04,2-0,VfB Stuttgart,1965-66
Jan 15 1966,VfB Borussia Neunkirchen,1-3,Borussia Dortmund,1965-66
Jan 15 1966,MSV Duisburg,5-2,VfB Stuttgart,1965-66
Jan 15 1966,SC Tasmania 1900 Berlin (-1973),0-0,Bor. Mönchengladbach,1965-66
Jan 15 1966,Karlsruher SC,1-0,FC Schalke 04,1965-66
Jan 15 1966,Eintracht Frankfurt,0-0,Bayern Munich,1965-66
Jan 15 1966,Werder Bremen,3-3,Hannover 96,1965-66
Jan 15 1966,1. FC Köln,3-2,1. FC Kaiserslautern,1965-66
Jan 15 1966,Eintracht Braunschweig,1-4,Hamburger SV,1965-66
Jan 15 1966,TSV 1860 Munich,1-1,1. FC Nürnberg,1965-66
Jan 19 1966,Borussia Dortmund,3-0,Eintracht Frankfurt,1965-66
Jan 29 1966,Borussia Dortmund,3-1,SC Tasmania 1900 Berlin (-1973),1965-66
Jan 29 1966,Bor. Mönchengladbach,1-1,Karlsruher SC,1965-66
Jan 29 1966,Hamburger SV,3-0,VfB Borussia Neunkirchen,1965-66
Jan 29 1966,1. FC Kaiserslautern,2-3,Werder Bremen,1965-66
Jan 29 1966,VfB Stuttgart,0-1,1. FC Köln,1965-66
Jan 29 1966,1. FC Nürnberg,0-0,Eintracht Frankfurt,1965-66
Jan 29 1966,Bayern Munich,2-2,Eintracht Braunschweig,1965-66
Jan 29 1966,Hannover 96,0-1,TSV 1860 Munich,1965-66
Jan 29 1966,FC Schalke 04,0-0,MSV Duisburg,1965-66
Feb 5 1966,VfB Borussia Neunkirchen,0-4,Bayern Munich,1965-66
Feb 5 1966,Bor. Mönchengladbach,2-0,FC Schalke 04,1965-66
Feb 5 1966,SC Tasmania 1900 Berlin (-1973),0-4,Hamburger SV,1965-66
Feb 5 1966,Werder Bremen,3-1,VfB Stuttgart,1965-66
Feb 5 1966,Karlsruher SC,0-0,Borussia Dortmund,1965-66
Feb 5 1966,Eintracht Frankfurt,0-1,Hannover 96,1965-66
Feb 5 1966,1. FC Köln,1-1,MSV Duisburg,1965-66
Feb 5 1966,Eintracht Braunschweig,3-0,1. FC Nürnberg,1965-66
Feb 12 1966,1. FC Kaiserslautern,5-2,Eintracht Frankfurt,1965-66
Feb 12 1966,MSV Duisburg,1-2,Werder Bremen,1965-66
Feb 12 1966,1. FC Nürnberg,3-1,VfB Borussia Neunkirchen,1965-66
Feb 12 1966,Hamburger SV,8-0,Karlsruher SC,1965-66
Feb 12 1966,Borussia Dortmund,3-1,Bor. Mönchengladbach,1965-66
Feb 12 1966,Bayern Munich,2-1,SC Tasmania 1900 Berlin (-1973),1965-66
Feb 12 1966,VfB Stuttgart,0-0,TSV 1860 Munich,1965-66
Feb 12 1966,FC Schalke 04,0-0,1. FC Köln,1965-66
Feb 26 1966,Borussia Dortmund,7-0,FC Schalke 04,1965-66
Feb 26 1966,TSV 1860 Munich,3-3,MSV Duisburg,1965-66
Feb 26 1966,Bor. Mönchengladbach,0-0,Hamburger SV,1965-66
Feb 26 1966,SC Tasmania 1900 Berlin (-1973),0-1,1. FC Nürnberg,1965-66
Feb 26 1966,Eintracht Braunschweig,1-1,1. FC Kaiserslautern,1965-66
Feb 26 1966,Karlsruher SC,1-0,Bayern Munich,1965-66
Feb 26 1966,Werder Bremen,2-1,1. FC Köln,1965-66
Feb 26 1966,VfB Borussia Neunkirchen,1-0,Hannover 96,1965-66
Feb 26 1966,Eintracht Frankfurt,3-2,VfB Stuttgart,1965-66
Mar 5 1966,Hannover 96,5-0,SC Tasmania 1900 Berlin (-1973),1965-66
Mar 5 1966,Hamburger SV,1-1,Borussia Dortmund,1965-66
Mar 5 1966,MSV Duisburg,0-0,Eintracht Frankfurt,1965-66
Mar 5 1966,1. FC Nürnberg,3-0,Karlsruher SC,1965-66
Mar 5 1966,1. FC Kaiserslautern,0-0,VfB Borussia Neunkirchen,1965-66
Mar 5 1966,1. FC Köln,3-1,TSV 1860 Munich,1965-66
Mar 5 1966,VfB Stuttgart,0-1,Eintracht Braunschweig,1965-66
Mar 5 1966,FC Schalke 04,1-6,Werder Bremen,1965-66
Mar 5 1966,Bayern Munich,5-2,Bor. Mönchengladbach,1965-66
Mar 12 1966,TSV 1860 Munich,3-1,Werder Bremen,1965-66
Mar 12 1966,Hamburger SV,1-1,FC Schalke 04,1965-66
Mar 12 1966,Eintracht Braunschweig,1-0,MSV Duisburg,1965-66
Mar 12 1966,Borussia Dortmund,3-0,Bayern Munich,1965-66
Mar 12 1966,SC Tasmania 1900 Berlin (-1973),1-1,1. FC Kaiserslautern,1965-66
Mar 12 1966,VfB Borussia Neunkirchen,1-2,VfB Stuttgart,1965-66
Mar 12 1966,Karlsruher SC,1-0,Hannover 96,1965-66
Mar 12 1966,Bor. Mönchengladbach,8-3,1. FC Nürnberg,1965-66
Mar 18 1966,Eintracht Frankfurt,0-0,1. FC Köln,1965-66
Mar 19 1966,Werder Bremen,3-2,Eintracht Frankfurt,1965-66
Mar 19 1966,VfB Stuttgart,2-0,SC Tasmania 1900 Berlin (-1973),1965-66
Mar 19 1966,1. FC Köln,3-0,Eintracht Braunschweig,1965-66
Mar 19 1966,Bayern Munich,3-0,Hamburger SV,1965-66
Mar 19 1966,FC Schalke 04,0-2,TSV 1860 Munich,1965-66
Mar 19 1966,1. FC Nürnberg,0-0,Borussia Dortmund,1965-66
Mar 19 1966,1. FC Kaiserslautern,1-0,Karlsruher SC,1965-66
Mar 19 1966,Hannover 96,2-1,Bor. Mönchengladbach,1965-66
Mar 19 1966,MSV Duisburg,1-0,VfB Borussia Neunkirchen,1965-66
Mar 26 1966,VfB Borussia Neunkirchen,2-1,1. FC Köln,1965-66
Mar 26 1966,SC Tasmania 1900 Berlin (-1973),0-9,MSV Duisburg,1965-66
Mar 26 1966,Hamburger SV,0-2,1. FC Nürnberg,1965-66
Mar 26 1966,Eintracht Braunschweig,1-0,Werder Bremen,1965-66
Mar 26 1966,Bayern Munich,1-0,FC Schalke 04,1965-66
Mar 26 1966,Karlsruher SC,3-0,VfB Stuttgart,1965-66
Mar 26 1966,Eintracht Frankfurt,5-2,TSV 1860 Munich,1965-66
Mar 26 1966,Borussia Dortmund,4-0,Hannover 96,1965-66
Mar 26 1966,Bor. Mönchengladbach,2-0,1. FC Kaiserslautern,1965-66
Apr 2 1966,Hannover 96,0-0,Hamburger SV,1965-66
Apr 2 1966,VfB Stuttgart,5-0,Bor. Mönchengladbach,1965-66
Apr 2 1966,MSV Duisburg,8-2,Karlsruher SC,1965-66
Apr 2 1966,1. FC Köln,4-0,SC Tasmania 1900 Berlin (-1973),1965-66
Apr 2 1966,1. FC Nürnberg,2-2,Bayern Munich,1965-66
Apr 2 1966,1. FC Kaiserslautern,0-0,Borussia Dortmund,1965-66
