Date,Team 1,FT,Team 2,Season
Nov 28 1964,Werder Bremen,1-0,MSV Duisburg,1964-65
Dec 5 1964,VfB Borussia Neunkirchen,2-2,Hertha BSC,1964-65
Dec 5 1964,Karlsruher SC,6-1,1. FC Kaiserslautern,1964-65
Dec 5 1964,Hamburger SV,3-2,TSV 1860 Munich,1964-65
Dec 5 1964,Borussia Dortmund,1-2,Werder Bremen,1964-65
Dec 5 1964,Hannover 96,2-1,VfB Stuttgart,1964-65
Dec 5 1964,MSV Duisburg,2-1,FC Schalke 04,1964-65
Dec 5 1964,Eintracht Frankfurt,2-2,Eintracht Braunschweig,1964-65
Dec 5 1964,1. FC Nürnberg,3-0,1. FC Köln,1964-65
Dec 12 1964,Werder Bremen,1-1,1. FC Nürnberg,1964-65
Dec 12 1964,Eintracht Braunschweig,3-0,Karlsruher SC,1964-65
Dec 12 1964,Hertha BSC,1-1,Hannover 96,1964-65
Dec 12 1964,VfB Stuttgart,3-2,VfB Borussia Neunkirchen,1964-65
Dec 12 1964,1. FC Kaiserslautern,0-1,Eintracht Frankfurt,1964-65
Dec 12 1964,1. FC Köln,3-3,Borussia Dortmund,1964-65
Dec 12 1964,FC Schalke 04,3-1,Hamburger SV,1964-65
Dec 12 1964,TSV 1860 Munich,2-1,MSV Duisburg,1964-65
Dec 19 1964,Hertha BSC,1-3,1. FC Köln,1964-65
Dec 19 1964,VfB Borussia Neunkirchen,1-1,1. FC Nürnberg,1964-65
Dec 19 1964,Werder Bremen,1-1,1. FC Kaiserslautern,1964-65
Dec 19 1964,FC Schalke 04,1-1,Eintracht Frankfurt,1964-65
Dec 19 1964,Hannover 96,2-0,Borussia Dortmund,1964-65
Dec 19 1964,TSV 1860 Munich,2-0,Eintracht Braunschweig,1964-65
Dec 19 1964,MSV Duisburg,1-1,Karlsruher SC,1964-65
Dec 19 1964,VfB Stuttgart,2-4,Hamburger SV,1964-65
Dec 31 1964,1. FC Nürnberg,1-1,VfB Stuttgart,1964-65
